task_type,blind_id,run_id,query_id,condition,annotator_1,annotator_2,citation_valid,citation_retry_count,valid_citations,generation_outcome
groundedness,G-541884332516,semantic|q24,q24,semantic,yann,gabriela,true,0,"[""advanced/behind-a-proxy-11""]",cited_answer
groundedness,G-54C14A24FC78,optimized|q23,q23,optimized,wilson,matheus,true,0,"[""deployment/concepts-30""]",cited_answer
groundedness,G-5E28B746D6CF,semantic|q10,q10,semantic,carlos,matheus,true,1,"[""tutorial/security/first-steps-7""]",cited_answer
groundedness,G-60614155AD17,semantic|q08,q08,semantic,yann,wilson,true,1,"[""tutorial/dependencies/dependencies-in-path-operation-decorators-1"", ""tutorial/dependencies/dependencies-in-path-operation-decorators-0""]",cited_answer
groundedness,G-623782CEAF88,semantic|q22,q22,semantic,yann,wilson,true,1,"[""deployment/concepts-19""]",cited_answer
groundedness,G-69BF01C4442F,optimized|q17,q17,optimized,carlos,gabriela,true,0,"[""tutorial/background-tasks-4""]",cited_answer
groundedness,G-6D18A201DB7D,optimized|q08,q08,optimized,carlos,wilson,true,1,"[""tutorial/dependencies/dependencies-in-path-operation-decorators-0""]",cited_answer
groundedness,G-70290EAB7BBE,semantic|q19,q19,semantic,wilson,matheus,true,1,"[""advanced/websockets-4""]",cited_answer
groundedness,G-7211D36FDE14,semantic|q28,q28,semantic,carlos,matheus,true,0,"[""tutorial/handling-errors-6""]",cited_answer
groundedness,G-7AEF984FF08F,semantic|q26,q26,semantic,yann,wilson,true,1,"[""advanced/testing-dependencies-3""]",cited_answer
groundedness,G-819FC0D48C0D,optimized|q30,q30,optimized,yann,wilson,true,1,"[""how-to/extending-openapi-0""]",cited_answer
groundedness,G-8227AD99DAA4,optimized|q24,q24,optimized,wilson,matheus,true,1,"[""deployment/docker-12""]",cited_answer
groundedness,G-88834C6BB041,semantic|q17,q17,semantic,yann,matheus,true,1,"[""tutorial/background-tasks-0""]",cited_answer
groundedness,G-8DC507C00BC4,optimized|q25,q25,optimized,wilson,gabriela,true,1,"[""reference/testclient-0""]",cited_answer
groundedness,G-8ED6DC1671A5,semantic|q07,q07,semantic,matheus,gabriela,true,1,"[""tutorial/dependencies/sub-dependencies-3""]",cited_answer
groundedness,G-97B33F206271,optimized|q07,q07,optimized,matheus,gabriela,true,1,"[""tutorial/security/get-current-user-2""]",cited_answer
groundedness,G-987107887D0F,semantic|q27,q27,semantic,carlos,matheus,true,1,"[""advanced/events-0""]",cited_answer
groundedness,G-A8ABBC6F495D,optimized|q22,q22,optimized,carlos,matheus,true,1,"[""deployment/server-workers-0""]",cited_answer
groundedness,G-B70639D9EDEC,optimized|q01,q01,optimized,wilson,matheus,true,0,"[""how-to/custom-docs-ui-assets-5"", ""how-to/custom-docs-ui-assets-15""]",cited_answer
groundedness,G-B79D70A1E94F,optimized|q15,q15,optimized,wilson,gabriela,true,1,"[""reference/middleware-0""]",cited_answer
groundedness,G-B9CF1E87ED58,semantic|q15,q15,semantic,matheus,gabriela,true,1,"[""advanced/middleware-1""]",cited_answer
groundedness,G-BBF60ACFB4D1,semantic|q30,q30,semantic,carlos,yann,true,1,"[""how-to/extending-openapi-0"", ""how-to/extending-openapi-6"", ""how-to/extending-openapi-7""]",cited_answer
groundedness,G-C808DD93B574,semantic|q23,q23,semantic,yann,matheus,true,1,"[""deployment/concepts-0""]",cited_answer
groundedness,G-CAA1F0231D2C,semantic|q21,q21,semantic,carlos,gabriela,true,1,"[""deployment/docker-5""]",cited_answer
groundedness,G-D4A0596C4713,semantic|q06,q06,semantic,wilson,matheus,true,1,"[""reference/dependencies-1""]",cited_answer
groundedness,G-D68670F61ACD,optimized|q06,q06,optimized,yann,matheus,true,1,"[""tutorial/dependencies/index-5""]",cited_answer
groundedness,G-E885803F5F7B,semantic|q16,q16,semantic,yann,wilson,false,1,[],invalid_uncited_answer
groundedness,G-EBFF2BDD8A79,optimized|q18,q18,optimized,wilson,gabriela,false,1,[],invalid_abstention
groundedness,G-EF3022D77E43,semantic|q14,q14,semantic,yann,matheus,true,1,"[""tutorial/cors-4""]",cited_answer
groundedness,G-EFD1F79B5436,semantic|q01,q01,semantic,carlos,gabriela,true,0,"[""tutorial/first-steps-33""]",cited_answer
groundedness,G-F004A72A6E0C,semantic|q02,q02,semantic,yann,matheus,true,1,"[""tutorial/query-params-str-validations-4""]",cited_answer
groundedness,G-F211A7460663,optimized|q13,q13,optimized,carlos,wilson,true,0,[],valid_abstention
groundedness,G-F5DCD4082AAF,optimized|q26,q26,optimized,wilson,gabriela,true,1,"[""advanced/testing-dependencies-3""]",cited_answer
groundedness,G-F76029BDB275,optimized|q02,q02,optimized,carlos,matheus,true,1,"[""tutorial/query-param-models-0""]",cited_answer
groundedness,G-FA2DA779F988,optimized|q05,q05,optimized,carlos,wilson,true,1,"[""tutorial/dependencies/dependencies-with-yield-7""]",cited_answer
groundedness,G-FAB5DD4D03AC,optimized|q19,q19,optimized,yann,gabriela,true,1,"[""reference/websockets-0""]",cited_answer
groundedness,G-FAC6087EF67E,semantic|q20,q20,semantic,carlos,yann,true,1,"[""reference/websockets-1""]",cited_answer
groundedness,G-FCF2BE263430,semantic|q25,q25,semantic,wilson,gabriela,true,1,"[""tutorial/testing-2""]",cited_answer
groundedness,G-FD9579442A9D,optimized|q04,q04,optimized,carlos,matheus,true,1,"[""reference/status-0""]",cited_answer
quality,Q-014851B82DDB,optimized|q16,q16,optimized,yann,matheus,true,1,"[""reference/middleware-0""]",cited_answer
quality,Q-02FE9E53B872,semantic|q21,q21,semantic,carlos,matheus,true,1,"[""deployment/docker-5""]",cited_answer
quality,Q-030BC3434AB5,optimized|q23,q23,optimized,wilson,matheus,true,0,"[""deployment/concepts-30""]",cited_answer
quality,Q-0331EC317506,semantic|q19,q19,semantic,matheus,gabriela,true,1,"[""advanced/websockets-4""]",cited_answer
quality,Q-0418C76EE0D2,no_rag|q07,q07,no_rag,carlos,wilson,,,[],no_rag
quality,Q-07B492531259,optimized|q21,q21,optimized,wilson,gabriela,true,1,"[""deployment/docker-36""]",cited_answer
quality,Q-07E868E2FC34,semantic|q23,q23,semantic,wilson,gabriela,true,1,"[""deployment/concepts-0""]",cited_answer
quality,Q-09B273A16FD0,semantic|q27,q27,semantic,carlos,yann,true,1,"[""advanced/events-0""]",cited_answer
quality,Q-0AB9F45E6A07,optimized|q20,q20,optimized,carlos,gabriela,true,1,"[""advanced/websockets-9""]",cited_answer
quality,Q-0AC255AC50A5,optimized|q27,q27,optimized,carlos,wilson,true,1,"[""advanced/events-0""]",cited_answer
quality,Q-0B916C635840,no_rag|q02,q02,no_rag,yann,wilson,,,[],no_rag
quality,Q-110A30DEFA41,no_rag|q21,q21,no_rag,yann,matheus,,,[],no_rag
quality,Q-19E6C0C332CB,no_rag|q08,q08,no_rag,wilson,matheus,,,[],no_rag
quality,Q-1D03C3B5E9CF,semantic|q07,q07,semantic,yann,gabriela,true,1,"[""tutorial/dependencies/sub-dependencies-3""]",cited_answer
quality,Q-1D48DE1F09D3,semantic|q11,q11,semantic,carlos,yann,true,1,"[""tutorial/security/first-steps-7""]",cited_answer
quality,Q-2133E0DEE569,no_rag|q12,q12,no_rag,matheus,gabriela,,,[],no_rag
quality,Q-24AD29BB4391,no_rag|q14,q14,no_rag,wilson,matheus,,,[],no_rag
quality,Q-27533C22C5C7,semantic|q03,q03,semantic,carlos,matheus,true,1,"[""tutorial/request-form-models-1"", ""tutorial/body-9"", ""tutorial/cookie-param-models-1"", ""tutorial/body-nested-models-0""]",cited_answer
quality,Q-29CA00A48738,semantic|q30,q30,semantic,yann,wilson,true,1,"[""how-to/extending-openapi-0"", ""how-to/extending-openapi-6"", ""how-to/extending-openapi-7""]",cited_answer
quality,Q-2AB07E083D85,optimized|q13,q13,optimized,carlos,gabriela,true,0,[],valid_abstention
quality,Q-2AF3517894F7,optimized|q05,q05,optimized,wilson,gabriela,true,1,"[""tutorial/dependencies/dependencies-with-yield-7""]",cited_answer
quality,Q-326B36416106,no_rag|q22,q22,no_rag,carlos,gabriela,,,[],no_rag
quality,Q-3825314E3E3C,no_rag|q29,q29,no_rag,matheus,gabriela,,,[],no_rag
quality,Q-4074347692CF,semantic|q02,q02,semantic,carlos,yann,true,1,"[""tutorial/query-params-str-validations-4""]",cited_answer
quality,Q-48811E0C5A7D,no_rag|q28,q28,no_rag,matheus,gabriela,,,[],no_rag
quality,Q-4DFBCDB76B6C,optimized|q17,q17,optimized,carlos,yann,true,0,"[""tutorial/background-tasks-4""]",cited_answer
quality,Q-559400844B21,no_rag|q30,q30,no_rag,matheus,gabriela,,,[],no_rag
quality,Q-586CF9555252,semantic|q16,q16,semantic,carlos,yann,false,1,[],invalid_uncited_answer
quality,Q-599612CE1BCB,semantic|q22,q22,semantic,yann,gabriela,true,1,"[""deployment/concepts-19""]",cited_answer
quality,Q-5A74211B8773,no_rag|q01,q01,no_rag,carlos,yann,,,[],no_rag
quality,Q-5B31C18CCB79,no_rag|q05,q05,no_rag,carlos,matheus,,,[],no_rag
quality,Q-5BC009AA8022,no_rag|q16,q16,no_rag,carlos,matheus,,,[],no_rag
quality,Q-5CDBAD918209,no_rag|q06,q06,no_rag,matheus,gabriela,,,[],no_rag
quality,Q-5FFDFB1AEDED,optimized|q22,q22,optimized,carlos,wilson,true,1,"[""deployment/server-workers-0""]",cited_answer
quality,Q-60DBEC22FA4E,semantic|q17,q17,semantic,yann,wilson,true,1,"[""tutorial/background-tasks-0""]",cited_answer
quality,Q-6351496AEABA,no_rag|q17,q17,no_rag,wilson,matheus,,,[],no_rag
quality,Q-63C668B6E5F8,no_rag|q13,q13,no_rag,carlos,wilson,,,[],no_rag
quality,Q-65B67B8AC287,optimized|q15,q15,optimized,wilson,gabriela,true,1,"[""reference/middleware-0""]",cited_answer
quality,Q-6625991C35A9,semantic|q01,q01,semantic,wilson,gabriela,true,0,"[""tutorial/first-steps-33""]",cited_answer
quality,Q-68D222E86562,optimized|q18,q18,optimized,matheus,gabriela,false,1,[],invalid_abstention
quality,Q-6938EB9F4A6F,no_rag|q11,q11,no_rag,yann,matheus,,,[],no_rag
quality,Q-711BE5C6D784,optimized|q04,q04,optimized,carlos,wilson,true,1,"[""reference/status-0""]",cited_answer
quality,Q-7327D2E6CDB0,no_rag|q18,q18,no_rag,carlos,matheus,,,[],no_rag
quality,Q-76BF8BDBA3D0,optimized|q30,q30,optimized,wilson,matheus,true,1,"[""how-to/extending-openapi-0""]",cited_answer
quality,Q-7C313B58852E,optimized|q11,q11,optimized,yann,gabriela,false,1,[],invalid_uncited_answer
quality,Q-83BA44740E87,semantic|q29,q29,semantic,wilson,matheus,true,1,"[""tutorial/bigger-applications-20""]",cited_answer
quality,Q-872E12A625FB,optimized|q02,q02,optimized,yann,gabriela,true,1,"[""tutorial/query-param-models-0""]",cited_answer
quality,Q-8D6ADD578F52,optimized|q24,q24,optimized,carlos,gabriela,true,1,"[""deployment/docker-12""]",cited_answer
quality,Q-8F49FF7DFB8B,no_rag|q24,q24,no_rag,carlos,matheus,,,[],no_rag
quality,Q-8FEBA928D81F,semantic|q12,q12,semantic,yann,matheus,true,1,"[""reference/security/index-6""]",cited_answer
quality,Q-9560DDF5B47D,semantic|q20,q20,semantic,yann,wilson,true,1,"[""reference/websockets-1""]",cited_answer
quality,Q-975C3CB23678,optimized|q12,q12,optimized,yann,matheus,true,1,"[""advanced/security/oauth2-scopes-0""]",cited_answer
quality,Q-9838169810D2,no_rag|q10,q10,no_rag,yann,wilson,,,[],no_rag
quality,Q-9960A51D0D93,optimized|q09,q09,optimized,carlos,matheus,true,1,"[""tutorial/dependencies/dependencies-in-path-operation-decorators-0""]",cited_answer
quality,Q-9A53D82CABCC,no_rag|q04,q04,no_rag,carlos,wilson,,,[],no_rag
quality,Q-9AA8FA6B49C9,semantic|q26,q26,semantic,carlos,gabriela,true,1,"[""advanced/testing-dependencies-3""]",cited_answer
quality,Q-9C9CBE57A663,no_rag|q23,q23,no_rag,yann,gabriela,,,[],no_rag
quality,Q-A049362A5634,optimized|q06,q06,optimized,yann,matheus,true,1,"[""tutorial/dependencies/index-5""]",cited_answer
quality,Q-A3E9A5B8B876,optimized|q28,q28,optimized,carlos,gabriela,true,0,"[""tutorial/handling-errors-6""]",cited_answer
quality,Q-A8DB5CE851E4,semantic|q10,q10,semantic,carlos,wilson,true,1,"[""tutorial/security/first-steps-7""]",cited_answer
quality,Q-A95180AB8472,semantic|q06,q06,semantic,carlos,matheus,true,1,"[""reference/dependencies-1""]",cited_answer
quality,Q-ABA88B34C8B3,semantic|q25,q25,semantic,yann,wilson,true,1,"[""tutorial/testing-2""]",cited_answer
quality,Q-ACF5289F4A7D,no_rag|q27,q27,no_rag,yann,gabriela,,,[],no_rag
quality,Q-AED893ED48AA,optimized|q08,q08,optimized,carlos,gabriela,true,1,"[""tutorial/dependencies/dependencies-in-path-operation-decorators-0""]",cited_answer
quality,Q-B49DF875AFF1,semantic|q14,q14,semantic,yann,gabriela,true,1,"[""tutorial/cors-4""]",cited_answer
quality,Q-B92F5F0E1079,no_rag|q15,q15,no_rag,matheus,gabriela,,,[],no_rag
quality,Q-B99BBE679C06,no_rag|q19,q19,no_rag,yann,wilson,,,[],no_rag
quality,Q-C29FD2F6987B,semantic|q18,q18,semantic,yann,matheus,true,0,"[""tutorial/background-tasks-4""]",cited_answer
quality,Q-C2D849900772,semantic|q05,q05,semantic,wilson,matheus,true,1,"[""tutorial/handling-errors-9""]",cited_answer
quality,Q-C96D40D81F6D,optimized|q10,q10,optimized,carlos,yann,true,1,"[""tutorial/security/simple-oauth2-0"", ""tutorial/security/simple-oauth2-17""]",cited_answer
quality,Q-CA1895AC637D,no_rag|q09,q09,no_rag,yann,wilson,,,[],no_rag
quality,Q-CE3BCD6B1C7E,semantic|q09,q09,semantic,carlos,yann,true,1,"[""tutorial/dependencies/dependencies-in-path-operation-decorators-7""]",cited_answer
quality,Q-D133442B7542,no_rag|q26,q26,no_rag,yann,wilson,,,[],no_rag
quality,Q-D151D3156026,no_rag|q25,q25,no_rag,wilson,gabriela,,,[],no_rag
quality,Q-D1A979F5ED7E,semantic|q13,q13,semantic,yann,matheus,true,1,"[""reference/security/index-1""]",cited_answer
quality,Q-D740A6893EE9,optimized|q01,q01,optimized,wilson,matheus,true,0,"[""how-to/custom-docs-ui-assets-5"", ""how-to/custom-docs-ui-assets-15""]",cited_answer
quality,Q-D802BC59BB6D,optimized|q03,q03,optimized,carlos,matheus,true,1,"[""reference/request-0""]",cited_answer
quality,Q-DD5FF96CF5A8,optimized|q19,q19,optimized,wilson,gabriela,true,1,"[""reference/websockets-0""]",cited_answer
quality,Q-E34B11436F2E,optimized|q25,q25,optimized,carlos,yann,true,1,"[""reference/testclient-0""]",cited_answer
quality,Q-E6267F75081B,semantic|q28,q28,semantic,carlos,wilson,true,0,"[""tutorial/handling-errors-6""]",cited_answer
quality,Q-ED2671E6BAF7,optimized|q29,q29,optimized,yann,matheus,true,1,"[""tutorial/bigger-applications-27""]",cited_answer
quality,Q-EF2A3A8CB87F,semantic|q24,q24,semantic,wilson,gabriela,true,0,"[""advanced/behind-a-proxy-11""]",cited_answer
quality,Q-F1C70D5AA944,semantic|q04,q04,semantic,wilson,matheus,true,1,"[""advanced/response-change-status-code-2""]",cited_answer
quality,Q-F416D933AEA4,no_rag|q03,q03,no_rag,matheus,gabriela,,,[],no_rag
quality,Q-F56A25442073,optimized|q07,q07,optimized,carlos,gabriela,true,1,"[""tutorial/security/get-current-user-2""]",cited_answer
quality,Q-F6F666818E89,optimized|q14,q14,optimized,yann,gabriela,true,1,"[""tutorial/cors-4""]",cited_answer
quality,Q-F7DFC52DF857,semantic|q08,q08,semantic,yann,gabriela,true,1,"[""tutorial/dependencies/dependencies-in-path-operation-decorators-1"", ""tutorial/dependencies/dependencies-in-path-operation-decorators-0""]",cited_answer
quality,Q-F842B34A75B9,optimized|q26,q26,optimized,wilson,gabriela,true,1,"[""advanced/testing-dependencies-3""]",cited_answer
quality,Q-FB2766601CA3,semantic|q15,q15,semantic,carlos,gabriela,true,1,"[""advanced/middleware-1""]",cited_answer
quality,Q-FDDE0E64709E,no_rag|q20,q20,no_rag,carlos,wilson,,,[],no_rag
